100,100,0.5,900,571,25;7676
100,100,0.5,500,796,25;7940
100,100,0.5,900,532,25;8008
100,100,0.5,500,602,25;8014
100,100,0.5,100,171,25;8940
100,100,0.5,500,116,25;8926
100,100,0.5,900,656,25;8286
100,100,0.5,100,656,25;7908
100,100,0.5,900,863,25;7450
100,100,0.5,500,575,25;7982
100,100,0.5,500,788,25;7956
100,100,0.5,500,377,25;8764
100,100,0.5,500,360,25;8340
100,100,0.5,900,926,25;7326
100,100,0.5,500,417,25;8574
100,100,0.5,100,796,25;7806
100,100,0.5,100,941,25;7802
100,100,0.5,100,548,25;8050
100,100,0.5,100,926,25;7544
100,100,0.5,900,30,25;9958
100,100,0.5,900,61,25;9564
100,100,0.5,500,645,25;8236
100,100,0.5,500,844,25;7616
100,100,0.5,100,190,25;9098
100,100,0.5,900,535,25;8252
100,100,0.5,100,744,25;8006
100,100,0.5,100,741,25;7880
100,100,0.5,500,899,25;7482
100,100,0.5,500,949,25;7758
100,100,0.5,100,880,25;7548
100,100,0.5,500,819,25;7532
100,100,0.5,900,592,25;7766
100,100,0.5,100,670,25;7966
100,100,0.5,900,638,25;7986
100,100,0.5,900,244,25;8788
100,100,0.5,100,725,25;7810
100,100,0.5,100,646,25;8072
100,100,0.5,100,349,25;8732
100,100,0.5,900,443,25;8406
100,100,0.5,500,726,25;8036
100,100,0.5,500,229,25;8472
100,100,0.5,500,198,25;8876
100,100,0.5,100,110,25;9200
100,100,0.5,100,366,25;8392
100,100,0.5,100,934,25;7578
100,100,0.5,500,855,25;7598
100,100,0.5,900,116,25;9074
100,100,0.5,500,664,25;7790
100,100,0.5,100,938,25;7862
100,100,0.5,100,731,25;7878
100,100,0.5,900,653,25;7982
100,100,0.5,900,815,25;7874
100,100,0.5,100,568,25;8226
100,100,0.5,100,552,25;8112
100,100,0.5,100,707,25;7660
100,100,0.5,100,751,25;7602
100,100,0.5,900,222,25;8244
100,100,0.5,900,572,25;8216
100,100,0.5,900,136,25;8980
100,100,0.5,900,78,25;9388
100,100,0.5,500,26,25;9560
100,100,0.5,100,618,25;7632
100,100,0.5,900,749,25;8276
100,100,0.5,900,396,25;8498
100,100,0.5,500,82,25;9420
100,100,0.5,100,95,25;9480
100,100,0.5,100,515,25;8014
100,100,0.5,900,997,25;7290
100,100,0.5,500,742,25;8258
100,100,0.5,900,583,25;7910
100,100,0.5,100,863,25;7690
100,100,0.5,500,776,25;7302
100,100,0.5,500,780,25;7796
100,100,0.5,900,786,25;7742
100,100,0.5,100,329,25;8342
100,100,0.5,900,84,25;8982
100,100,0.5,900,799,25;7798
100,100,0.5,900,889,25;7500
100,100,0.5,900,746,25;7996
100,100,0.5,900,750,25;7678
100,100,0.5,500,346,25;8638
100,100,0.5,500,631,25;8098
100,100,0.5,500,159,25;9078
100,100,0.5,100,561,25;8168
100,100,0.5,900,644,25;8318
100,100,0.5,100,377,25;8352
100,100,0.5,500,246,25;8776
100,100,0.5,500,76,25;9602
100,100,0.5,100,563,25;7912
100,100,0.5,900,540,25;8196
100,100,0.5,500,950,25;7582
100,100,0.5,500,566,25;8056
100,100,0.5,100,972,25;7676
100,100,0.5,100,650,25;8022
100,100,0.5,900,330,25;8164
100,100,0.5,100,634,25;7694
100,100,0.5,100,204,25;8764
100,100,0.5,500,498,25;8186
100,100,0.5,500,483,25;8250
100,100,0.5,100,680,25;7800
100,100,0.5,500,611,25;8018
100,100,0.5,900,338,25;8368
100,100,0.5,100,756,25;7720
100,100,0.5,900,685,25;8182
100,100,0.5,500,488,25;8244
100,100,0.5,500,907,25;7796
100,100,0.5,500,737,25;7542
100,100,0.5,900,4,25;10036
100,100,0.5,500,409,25;8510
100,100,0.5,500,506,25;7958
100,100,0.5,900,955,25;7778
100,100,0.5,500,734,25;7912
100,100,0.5,500,511,25;8228
100,100,0.5,500,413,25;8160
