12,12,0.5,600,15,25;114
12,12,0.5,400,54,25;94
12,12,0.5,600,53,25;100
12,12,0.5,200,47,25;120
12,12,0.5,200,9,25;94
12,12,0.5,400,96,25;78
12,12,0.5,200,39,25;90
12,12,0.5,600,85,25;130
12,12,0.5,200,98,25;96
12,12,0.5,600,1,25;122
12,12,0.5,600,75,25;104
12,12,0.5,400,56,25;110
12,12,0.5,600,76,25;122
12,12,0.5,400,78,25;114
12,12,0.5,600,2,25;94
12,12,0.5,600,65,25;128
12,12,0.5,600,18,25;84
12,12,0.5,600,48,25;46
12,12,0.5,600,50,25;122
12,12,0.5,400,93,25;60
12,12,0.5,600,92,25;94
12,12,0.5,600,83,25;90
12,12,0.5,400,45,25;68
12,12,0.5,600,14,25;76
12,12,0.5,400,48,25;102
12,12,0.5,200,25,25;112
12,12,0.5,200,63,25;88
12,12,0.5,400,13,25;100
12,12,0.5,600,47,25;120
12,12,0.5,400,100,25;132
12,12,0.5,600,30,25;154
12,12,0.5,600,97,25;70
12,12,0.5,200,89,25;76
12,12,0.5,200,22,25;106
12,12,0.5,400,94,25;94
12,12,0.5,200,82,25;48
12,12,0.5,400,46,25;102
12,12,0.5,400,72,25;92
12,12,0.5,200,95,25;118
12,12,0.5,600,89,25;72
12,12,0.5,600,19,25;68
12,12,0.5,200,44,25;100
12,12,0.5,200,67,25;52
12,12,0.5,400,83,25;144
12,12,0.5,600,74,25;128
12,12,0.5,600,4,25;82
12,12,0.5,600,49,25;108
12,12,0.5,600,73,25;94
12,12,0.5,400,25,25;84
12,12,0.5,600,38,25;118
12,12,0.5,400,58,25;110
12,12,0.5,200,86,25;88
12,12,0.5,400,24,25;130
12,12,0.5,200,32,25;80
12,12,0.5,200,61,25;118
12,12,0.5,400,33,25;120
12,12,0.5,400,59,25;84
12,12,0.5,400,88,25;92
12,12,0.5,400,27,25;80
12,12,0.5,600,17,25;78
12,12,0.5,400,6,25;116
12,12,0.5,200,79,25;56
12,12,0.5,600,79,25;82
12,12,0.5,200,7,25;130
12,12,0.5,400,79,25;146
12,12,0.5,400,4,25;110
12,12,0.5,600,62,25;132
12,12,0.5,400,67,25;104
12,12,0.5,200,68,25;72
12,12,0.5,200,78,25;72
12,12,0.5,200,62,25;84
12,12,0.5,600,54,25;64
12,12,0.5,200,36,25;128
12,12,0.5,400,26,25;138
12,12,0.5,400,1,25;110
12,12,0.5,200,59,25;104
12,12,0.5,200,83,25;90
12,12,0.5,200,34,25;104
12,12,0.5,200,27,25;126
12,12,0.5,600,37,25;48
12,12,0.5,400,53,25;66
12,12,0.5,400,92,25;80
12,12,0.5,400,90,25;126
12,12,0.5,200,56,25;156
12,12,0.5,600,64,25;92
12,12,0.5,600,26,25;72
12,12,0.5,200,16,25;120
12,12,0.5,600,71,25;52
12,12,0.5,200,81,25;76
12,12,0.5,400,75,25;134
12,12,0.5,200,91,25;68
12,12,0.5,600,91,25;70
12,12,0.5,400,15,25;120
12,12,0.5,400,61,25;98
12,12,0.5,200,1,25;170
12,12,0.5,600,59,25;150
12,12,0.5,400,41,25;80
12,12,0.5,400,38,25;126
12,12,0.5,200,57,25;100
12,12,0.5,600,12,25;104
12,12,0.5,400,66,25;130
12,12,0.5,400,86,25;116
12,12,0.5,200,10,25;128
12,12,0.5,400,81,25;76
12,12,0.5,600,41,25;84
12,12,0.5,400,89,25;76
12,12,0.5,200,23,25;110
12,12,0.5,600,43,25;68
12,12,0.5,400,49,25;80
12,12,0.5,400,35,25;100
12,12,0.5,200,50,25;120
12,12,0.5,400,16,25;102
12,12,0.5,400,65,25;78
12,12,0.5,200,46,25;86
12,12,0.5,400,32,25;102
12,12,0.5,600,81,25;70
12,12,0.5,600,9,25;110
12,12,0.5,600,27,25;122
12,12,0.5,400,60,25;86
12,12,0.5,600,21,25;82
12,12,0.5,200,6,25;176
12,12,0.5,400,87,25;52
12,12,0.5,200,21,25;76
12,12,0.5,600,25,25;90
12,12,0.5,600,67,25;68
12,12,0.5,600,7,25;84
12,12,0.5,200,64,25;80
12,12,0.5,400,57,25;118
12,12,0.5,400,62,25;120
12,12,0.5,400,82,25;80
12,12,0.5,200,65,25;106
12,12,0.5,200,5,25;104
12,12,0.5,400,64,25;90
12,12,0.5,200,52,25;92
12,12,0.5,600,24,25;142
12,12,0.5,200,33,25;96
12,12,0.5,600,31,25;140
12,12,0.5,400,31,25;144
12,12,0.5,600,61,25;74
12,12,0.5,600,70,25;114
12,12,0.5,400,77,25;74
12,12,0.5,600,77,25;54
12,12,0.5,600,39,25;116
12,12,0.5,400,9,25;112
12,12,0.5,400,11,25;156
12,12,0.5,600,40,25;86
12,12,0.5,600,84,25;84
12,12,0.5,600,78,25;62
12,12,0.5,200,15,25;126
12,12,0.5,400,43,25;146
12,12,0.5,200,26,25;94
12,12,0.5,600,100,25;78
12,12,0.5,200,8,25;104
12,12,0.5,200,85,25;112
12,12,0.5,200,58,25;94
12,12,0.5,200,4,25;142
12,12,0.5,400,23,25;64
12,12,0.5,200,76,25;96
12,12,0.5,400,3,25;126
12,12,0.5,600,28,25;74
12,12,0.5,600,96,25;96
12,12,0.5,600,29,25;108
12,12,0.5,600,36,25;118
12,12,0.5,200,30,25;116
12,12,0.5,400,10,25;66
12,12,0.5,200,28,25;128
12,12,0.5,200,92,25;66
12,12,0.5,600,51,25;126
12,12,0.5,600,5,25;124
12,12,0.5,600,55,25;100
12,12,0.5,400,47,25;104
12,12,0.5,600,72,25;92
