60	81.8662559985	1170	
66	88.8964561331	1160	
68	85.0713866775	1220	
65	83.2312606417	1230	
59	83.2944325789	1200	
68	84.7449133054	1260	
70	83.8079926175	1250	
64	82.3319971018	1150	
71	91.2946718268	1240	
73	94.8293197373	1300	
66	88.0241274431	1160	
66	80.7662537284	1170	
63	74.7416711808	960	
58	77.8687434634	1170	
68	91.9961821224	1210	
76	91.3745996712	1210	
67	76.7249647452	1200	
57	74.3136683848	1180	
58	81.8978306632	1160	
60	87.6396034011	1140	
78	102.221295074	1260	
58	88.5966367083	1140	
58	81.0627886195	990	
66	82.2473477643	1260	
60	73.8880908107	1160	
59	75.5057421935	1170	
67	84.1796246609	1200	
59	76.1791784856	1090	
61	76.6844559446	1200	
61	84.6418860941	1080	
65	77.9929865991	1190	
64	79.4276953574	1210	
61	75.7252069226	1130	
58	78.8130982308	1090	
59	84.1013772272	1230	
64	75.4426037056	1210	
65	87.3748387855	1220	
59	78.4167273629	970	
60	79.3237197863	1190	
70	88.0640119398	1220	
60	81.199711152	1110	
78	94.9528516057	1160	
68	88.8789925602	1210	
62	72.4376134822	1190	
67	80.7346223364	1240	
63	84.7590870568	1210	
59	80.7102434631	1010	
60	81.0517405051	1060	
60	74.2607113019	1180	
59	76.2032322455	1180	
70	92.6879401302	1050	
55	76.9303003721	1170	
66	83.9870567474	1140	
58	82.0208580566	1210	
